Aufnahmesigle;Ort;Y;X;Beleg;Auslaut;Verwendung;Kommentar
ZW--_E_00034;Sulzburg;47,84;7,71;gibt es dann, was man da braucht dazu. Und das ist auch ein Grund, warum ;NULL;VV;"unklar; Folgewort beginnt mit d"
ZW--_E_00043;Horben;47,94;7,86;Da da bei den Rossen braucht man halt bei den Rossen halt auch. Wieviel Vieh;NULL;VV;
ZW--_E_00079;Lörrach;47,66;7,57;Aber, wenn man die nicht braucht, ist's selbstverständlich besser der Qualität.;T;VV;
ZW--_E_00123;Owingen;47,81;9,17;einem Senkel und was man so dazu braucht, und die Holzfäller mit der Waldsäge. Werden halt;T;VV;
ZW--_E_00168;Hirrlingen;48,41;8,89;Element, nicht. ( Danach) braucht man sich nicht so, als Prinz Karneval man muss;NULL;VV? ;elliptischer Satz 
ZW--_E_00188;Rosenfeld;48,29;8,72;"heute Mittag um zwölf, also vorher braucht gar keiner kommen. "" Also gut, jetzt geht";NULL;MV;unklar 
ZW--_E_00214;Heimsheim;48,81;8,86;kein Säsack mehr auf die Achsel nehmen braucht. ( Danach) fährt man mit der S-;T;MV;
ZW--_E_00229;Stuttgart;48,78;9,18;dann das herauf, was man gerade braucht. Und sonst ist eigentlich nichts mehr in der Registratur;T;VV;
ZW--_E_00244;Laichingen;48,49;9,69;ich auch noch helfen abladen, da braucht man alleweil viel.;NULL;VV;
ZW--_E_00337;Leutkirch im Allgäu;47,83;10,02;Und Frucht, was man so selber braucht und Kartoffeln und Kohlrabi, nicht. Das ist so;T;VV;
ZW--_E_00339;Leutkirch im Allgäu;47,83;10,02;hat jeder noch, was er selber braucht. Aber dennoch, bei uns laufen noch nicht so;T;VV;
ZW--_E_00463;Wehr;47,63;7,9;auf Weihnachten um, da braucht man doch sicher auch viel, .;NULL;VV;"unklar; Stimmengewirr"
ZW--_E_00503;Bad Rippoldsau-Schapbach;48,38;8,29;sehr selten braucht. Leim, das braucht man nicht, also das ist warum, die Arbeiten;T;VV;
ZW--_E_00523;Kehl;48,58;7,81;A, was er braucht, was er kostet.;;VV;"unklar; Stimmengewirr"
ZW--_E_00546;Sasbachwalden;48,62;8,13;soll der Gerichtsvollzieher doch raufgehen, dann braucht er's doch nicht bringen, dann wenn wir's ja holen;T;MV;
