Aufnahmesigle;Ort;Y;X;Beleg;Infinitivrektion;Kommentar
ZW--_E_00032;Sulzburg;47,84;7,71;unsere Väter zum Beispiel, es brauchten nicht einmal die Großväter sein, wenn die von der;NULL;
ZW--_E_00043;Horben;47,94;7,86;Ha ja, aber braucht nicht immer soviel drücken. Das hat ja so einen;NULL;
ZW--_E_00239;Esslingen;48,56;9,43;kann ich, habe ich frei, brauche ich erst abends auch für ihn( danach) auch kochen und so, gell. ;NULL;
ZW--_E_00379;Lauben (Oberallgäu);47,87;10,3;ich, beim einen habe ich bloß brauchen am, am Sonntag, am Sonntag Dienst machen.;NULL;
ZW--_E_00443;Lenzkirch;47,87;8,2;wird dann auch gefeiert, und da brauchen sie am Montag jetzt kein blau mehr machen, denn;NULL;
ZW--_E_00507;Bad Rippoldsau-Schapbach;48,38;8,29;keine Berufsgenossenschaft brauchen äh brauchen zwangsweise rein, und so gibt's, und;NULL;"vollständiger Satz wohl ""brauchen ...reinzukommen"" "
ZW--_E_00546;Sasbachwalden;48,62;8,13;Dann brauchen sie's doch nicht runterbringen, nicht, soll der Gerichtsvollzieher;NULL;
ZW--_E_00564;Sinzheim;48,76;8,17;Und zwar draußen im Wald, ich brauche nicht verpfählen und nichts, wegen dem Fegen vom Wild;NULL;Audiodatei stimmt nicht mit Textbeispiel überein 
ZW--_E_00573;Au am Rhein;48,95;8,24;dann eine Weile Ruhe hatte. Dann brauchten wir weiter nicht dran denken. Dann hatten wir bloß;NULL;
ZW--_E_00576;Au am Rhein;48,95;8,24;, s'geht mich auch nichts an. Brauchst auch nicht alles zahlen, nicht wahr, wenn äh;NULL;
ZW--_E_00589;Keltern (Baden) ;48,89;8,6;könnte ich dies noch machen, da brauchte ich nicht viel schaffen dabei, nicht, und so;NULL;
ZW--_E_00602;Karlsdorf-Neuthard;49,14;8,54; und wer das Unglück hat, braucht für den Spott nicht zu sorgen nachher, nicht?;NULL;
ZW--_E_00605;Dettenheim;49,16;8,42;Ich erzeuge ich habe drei Milchkühe,brauche sie auch zum Fahren. Es ist bei uns Kleinlandwirten;ZU;"ist das eine ""richtige"" Infitinitivkonstruktion? ""Brauchen"" ist ja im Sinne von ""Benötigen"" "
ZW--_E_00639;Hemsbach;49,95;8,66;es ist ein Fortschritt da. Es braucht kein Bauer mehr zu bangen, daß ihm die letzte;ZU;
ZW--_E_00643;Neuried;48,47;7,8;Na a für das brauchst nicht sorgen, wenn wir beieinander sind, daß etwas;NULL;
ZW--_E_00709;Schwäbisch Gmünd;48,8;9,8;Laib Brot, nicht wahr. Man braucht es nicht mitnehmen und es ist.;NULL;
ZW--_E_00718;Hohenstadt;48,54;9,66;außen herum den Kranz ab, dann brauche ich mich gar nicht zu plagen am aufheben, die;NULL;"In Transkription steht ""zu"", aber wird nicht ausgesprochen "
ZW--_E_00823;Fichtenau;49,07;10,21;alleweil. Da hat man keine Strümpfe brauchen den ganzen Sommer anziehen oder einen einen Kittel anziehen,;NULL;
ZW--_E_00831;Wallhausen;49,21;10,06;Weil die sind mehr haußen, da braucht man nicht gerade so im Dreck herummotzen. ;NULL;Audiodatei stimmt nicht mit Textbeispiel überein 
ZW--_E_00904;Starnberg;48;11,34;habe zu meinen Leuten gesagt, ihr braucht keine Angst zu haben, ich komme wieder, das;NULL;"In Transkription steht ""zu"", aber wird nicht ausgesprochen "
ZW--_E_00927;Bichl;47,72;11,41;unten, nicht, wahr, da brauchen sie da keine Auslösung nicht zahlen und garnichts, nicht;NULL;
ZW--_E_00994;Gieboldehausen;51,61;10,21;er auf dem Backofen gesessen, da brauchte er nicht mehr zu frieren.;NULL;"In Transkription steht ""zu"", aber wird nicht ausgesprochen "
ZW--_E_01007;Neu-Eichenberg;51,38;9,88;dann müssen sie wieder Zinsen bezahlen, brauchen sie keine Steuern mehr zu bezahlen. So müssen Sie;NULL;"In Transkription steht ""zu"", aber wird nicht ausgesprochen, aber sehr undeutlich gesprochen "
ZW--_E_01062;Salzgitter;52,15;10,41;und die Zugewanderten, die natürlich Platz brauchten zum leben, Arbeitsplätze brauchten, Verdienstmöglichkeiten b;ZU;"ist das eine ""richtige"" Infitinitivkonstruktion? ""Brauchen"" ist ja im Sinne von ""Benötigen"" "
ZW--_E_01071;Kassel;51,32;9,5;"es war immer so schön. Da brauchte man nicht hinunterzugehen; es konnte wahrhaftig einer dem andern";ZU;Audiodatei stimmt nicht mit Textbeispiel überein 
ZW--_E_01073;Melsungen;51,13;9,55;weißt ja, wie das ist! Brauchst nichts zu sagen, das ist so. Das ist;ZU;sehr undeutlich!
ZW--_E_01153;Karsbach;50,05;9,78;man da keine Stützmauer hinunter zu machen braucht. Und der Architekt hat aber trotzdem eine Stützmauer ei;ZU;
ZW--_E_01171;Pfrombach;48,44;12;jungen ja, die anderen vier Pferde braucht man ja zum Arbeiten. Zum Einspannen, nicht,;ZU;"ist das eine ""richtige"" Infitinitivkonstruktion? ""Brauchen"" ist ja im Sinne von ""Benötigen"" "
ZW--_E_01205;Ramsau bei Berchtesgaden;47,61;12,9;Plagen werden sie sich auch nicht so brauchen in der.;NULL;
ZW--_E_01238;Siegenburg;48,75;11,85;Tut man durchforsten, nicht. Dann braucht man auch nicht mehr gar so viel nachpflanzen und da;NULL;
ZW--_E_01357;Ebersberg;48,03;11,88;ich mir da gar nichts zu denken brauche, glaube ich. Und sonst, na ja das;ZU;Audiodatei stimmt nicht mit Textbeispiel überein 
ZW--_E_01361;Kirchdorf an der Amper;48,46;11,65;nachher geht die Arbeit viel schneller und braucht man nicht mehr mit den Männern so umeinander schinden;NULL;
ZW--_E_01361;Kirchdorf an der Amper;48,46;11,65;schon leichter, nicht wahr, inzwischen brauche ich mich nicht mehr so schinden, und der hat;NULL;
ZW--_E_01394;Wegscheid;48,6;13,79;hierher, daß man nicht mehr fortfahren braucht. Der eine hat das und der andere hat das;NULL;Audiodatei stimmt nicht mit Textbeispiel überein 
ZW--_E_01432;Hohenwart;48,6;11,38;, der braucht, Schwester, da brauchen Sie mir gar nicht sagen, daß er es ist;NULL;
ZW--_E_01468;Regenstauf;49,12;12,13;Der Mittelstand geht unter. Dann brauchen sie keine Kollektivwirtschaft mehr herführen, die kriegen wir am;NULL;
ZW--_E_01516;Bodenmais;49,07;13,1;Zum Hinaufgehen braucht man- also wir brauchen wir zum Hinaufgehen nicht ganz;ZU;"ist das eine ""richtige"" Infitinitivkonstruktion? ""Brauchen"" ist ja im Sinne von ""Benötigen"" "
ZW--_E_01566;Halblech;47,63;10,82;da hat man nicht mehr viel tun brauchen da ist halt einer draußen gestanden noch über Nacht.;NULL;
ZW--_E_01595;Neustadt an der Weinstraße;49,35;8,15;weiter, daß man sich nicht schämen braucht. Na ja, und da hat man sich halt;NULL;
ZW--_E_01601;Rhodt unter Rietburg;49,27;8,11;nur noch auf den Knopf zu drücken braucht und die Musik ist schon da und so weiter,;ZU;
ZW--_E_01679;Elmstein;49,35;7,94;können Sie ja mal richtig ausruhen, brauchen nichts mehr schaffen;ZU;"in Transkription steht kein ""zu"", es wird aber ausgesprochen "
ZW--_E_01689;Kreimbach-Kaulbach;49,55;7,63;Selbstbinder bindet es von selber. Wir brauchen nichts als wie aufzustellen. Die Garben schmeißt es neben;ZU;
ZW--_E_01699;Nanzdietschweller;49,44;7,44;, dann so fünfzig Zentnel und dann brauchte ich bis Weihnachten nicht dreschen, dann war das nach;NULL;
ZW--_E_01731;Bann;49,39;7,61;Alles braucht man nicht zu wissen, nur eins, eins sollt;ZU;
